object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags,score,matched,total,coverage,matched_words
436570,The Adoration of the Shepherds,western,European Paintings,Paintings,,,ca. 1605–10,1605,1610,Oil on canvas,El Greco (Domenikos Theotokopoulos),Greek,1540.0,1614.0,1905,"[""Cows"", ""Lambs"", ""Virgin Mary"", ""Jesus"", ""Adoration of the Shepherds""]",4.966666666666668,3,5,0.6,"['the', 'of', 'the']"
76084,The Bodhisattva Jizō,eastern,Asian Art,Sculpture,Japan,Kamakura period (1185–1333),1291,1291,1291,"Japanese cypress wood (hinoki) with polychrome pigments, gold paint (kindei), cut gold leaf (kirikane), and rock-crystal eyes",Intan,Japanese,1200.0,1299.0,2023,,4.98,1,3,0.3333333333333333,['the']
312807,Guaíza,eastern,The Michael C. Rockefeller Wing,Stone-Sculpture,Taíno,,1200–1500 CE,1200,1500,Stone,Taíno artist(s),,,,1979,"[""Heads""]",,0,1,0.0,[]
477499,Jaharis Byzantine Lectionary,eastern,Medieval Art,Manuscripts and Illuminations,Byzantine,,ca. 1100,1100,1100,"Tempera, gold, and ink on parchment; leather binding",,,,,2007,,,0,3,0.0,[]
436311,Madonna and Child,eastern,European Paintings,Paintings,,,ca. 1480,1475,1485,"Tempera, oil, and gold on wood",Vincenzo Foppa,Italian,1456.0,1516.0,1930,"[""Madonna and Child""]",6.23,2,3,0.6666666666666666,"['and', 'child']"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Men"", ""Portraits"", ""Profiles""]",5.533333333333334,3,8,0.375,"['portrait', 'of', 'a']"
206965,Longcase astronomical regulator,western,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727.0,1807.0,1982,,,0,3,0.0,[]
472562,The Fieschi Morgan Staurotheke,eastern,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]",5.11,2,4,0.5,"['the', 'morgan']"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",western,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]",4.952500000000001,8,11,0.7272727272727273,"['book', 'of', 'the', 'dead', 'of', 'the', 'priest', 'of']"
544740,Yuny and His Wife Renenutet,eastern,Egyptian Art,,,"New Kingdom, Ramesside",ca. 1294–1279 B.C.,-1294,-1279,"Limestone, paint",,,,,1915,"[""Couples"", ""Men"", ""Women"", ""Hieroglyphs""]",5.8,3,5,0.6,"['and', 'his', 'wife']"
544740,Yuny and His Wife Renenutet,eastern,Egyptian Art,,,"New Kingdom, Ramesside",ca. 1294–1279 B.C.,-1294,-1279,"Limestone, paint",,,,,1915,"[""Couples"", ""Men"", ""Women"", ""Hieroglyphs""]",5.8,3,5,0.6,"['and', 'his', 'wife']"
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,,4.68,1,2,0.5,['cross']
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Men"", ""Portraits"", ""Profiles""]",5.533333333333334,3,8,0.375,"['portrait', 'of', 'a']"
200668,Sabine Houdon (1787–1836),eastern,European Sculpture and Decorative Arts,Sculpture,,,1788,1788,1788,White marble on gray marble socle,Jean Antoine Houdon,French,1741.0,1828.0,1950,"[""Girls"", ""Portraits""]",,0,4,0.0,[]
472562,The Fieschi Morgan Staurotheke,eastern,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]",5.11,2,4,0.5,"['the', 'morgan']"
472562,The Fieschi Morgan Staurotheke,eastern,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]",5.11,2,4,0.5,"['the', 'morgan']"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Men"", ""Portraits"", ""Profiles""]",5.533333333333334,3,8,0.375,"['portrait', 'of', 'a']"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Men"", ""Portraits"", ""Profiles""]",5.533333333333334,3,8,0.375,"['portrait', 'of', 'a']"
436545,Manuel Osorio Manrique de Zuñiga (1784–1792),eastern,European Paintings,Paintings,,,1787–88,1787,1788,Oil on canvas,Goya (Francisco de Goya y Lucientes),Spanish,1746.0,1828.0,1949,"[""Birds"", ""Boys"", ""Portraits"", ""Cats""]",4.82,1,7,0.14285714285714285,['de']
639782,War club,western,The American Wing,,"Pawnee, Native American",,ca. 1800,1795,1805,Wood and pigment,,,,,2019,,3.83,2,2,1.0,"['war', 'club']"
436542,"Ignacio Garcini y Queralt (1752–1825), Brigadier of Engineers",western,European Paintings,Paintings,,,1804,1804,1804,Oil on canvas,Goya (Francisco de Goya y Lucientes),Spanish,1746.0,1828.0,1955,"[""Men"", ""Portraits""]",5.146666666666667,3,9,0.3333333333333333,"['y', 'of', 'engineers']"
257603,Marble head of a Ptolemaic queen,western,Greek and Roman Art,Stone Sculpture,Greek,Hellenistic,ca. 270–250 BCE,-275,-250,Marble,,,,,2002,"[""Queens"", ""Heads"", ""Women""]",5.595000000000001,4,6,0.6666666666666666,"['head', 'of', 'a', 'queen']"
206965,Longcase astronomical regulator,western,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727.0,1807.0,1982,,,0,3,0.0,[]
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472.0,1498.0,1975,"[""Men"", ""Portraits"", ""Profiles""]",5.533333333333334,3,8,0.375,"['portrait', 'of', 'a']"
236688,A Hypocrite and a Slanderer,eastern,European Sculpture and Decorative Arts,Sculpture,,,ca. 1770–83,1765,1788,Tin alloy,Franz Xaver Messerschmidt,German,1736.0,1783.0,2009,"[""Heads"", ""Men""]",5.233333333333333,3,5,0.6,"['a', 'and', 'a']"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",western,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]",4.952500000000001,8,11,0.7272727272727273,"['book', 'of', 'the', 'dead', 'of', 'the', 'priest', 'of']"
544186,Senwosret III as a Sphinx,western,Egyptian Art,,,Middle Kingdom,ca. 1878–1840 B.C.,-1878,-1840,Gneiss,,,,,1917,"[""Hieroglyphs"", ""Sphinx"", ""MK-Kings""]",5.14,3,5,0.6,"['iii', 'as', 'a']"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",western,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]",4.952500000000001,8,11,0.7272727272727273,"['book', 'of', 'the', 'dead', 'of', 'the', 'priest', 'of']"
