title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term
Martyrdom of Saint Lawrence,,ca. 1180,"Pot-metal glass, vitreous paint",Glass-Stained,The Cloisters,British,,,,Panel,469887,True,1984,"Martyrdom of Saint Lawrence Pot-metal glass, vitreous paint",59,other
"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",José Guadalupe Posada,ca. 1890–96,Type-metal engraving and letterpress,Prints,Drawings and Prints,,,,,Print,729644,True,1946,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla) Type-metal engraving and letterpress",161,love
"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",,ca. 332–200 B.C.,"Papyrus, ink",,Egyptian Art,,Early Ptolemaic Period,,,"Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes",551786,True,1935,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes) Papyrus, ink",71,other
Sabine Houdon (1787–1836),Jean Antoine Houdon,1788,White marble on gray marble socle,Sculpture,European Sculpture and Decorative Arts,,,,,Bust,200668,True,1950,Sabine Houdon (1787–1836) White marble on gray marble socle,59,other
Yuny and His Wife Renenutet,,ca. 1294–1279 B.C.,"Limestone, paint",,Egyptian Art,,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,"Statue, Yuny, Renenutet, pair, menat, music",544740,True,1915,"Yuny and His Wife Renenutet Limestone, paint",44,other
Stela of the Overseer of the Fortress Intef,,ca. 2000–1988 B.C.,Limestone,,Egyptian Art,,Middle Kingdom,Dynasty 11,Seankhkare Mentuhotep III,"Stela, Intef, Iti",545393,True,1957,Stela of the Overseer of the Fortress Intef Limestone,53,other
The Fieschi Morgan Staurotheke,,early 9th century,"Gilded silver, gold, enamel worked in cloisonné, and niello",Enamels-Cloisonné,Medieval Art,Byzantine,,,,Reliquary,472562,True,1917,"The Fieschi Morgan Staurotheke Gilded silver, gold, enamel worked in cloisonné, and niello",90,other
Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Jacometto (Jacometto Veneziano),ca. 1485–95,Oil on wood; verso: oil and gold on wood,Paintings,Robert Lehman Collection,,,,,Painting,459028,True,1975,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck Oil on wood; verso: oil and gold on wood,100,portrait
"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Jacometto (Jacometto Veneziano),ca. 1485–95,Oil on wood; (verso: oil and gold on wood),Paintings,Robert Lehman Collection,,,,,Painting,459027,True,1975,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille Oil on wood; (verso: oil and gold on wood)",121,portrait
Stela of the Steward Mentuwoser,,ca. 1944 B.C.,"Limestone, paint",,Egyptian Art,,Middle Kingdom,Dynasty 12,"reign of Senwosret I, year 17","Stela, Mentuwoser",544320,True,1912,"Stela of the Steward Mentuwoser Limestone, paint",48,war
