title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term,score,matched,total,coverage,matched_words
Martyrdom of Saint Lawrence,,ca. 1180,"Pot-metal glass, vitreous paint",Glass-Stained,The Cloisters,British,,,,Panel,469887,True,1984.0,"Martyrdom of Saint Lawrence Pot-metal glass, vitreous paint",59,other,5.68,7,9,0.7777777777777778,"['of', 'saint', 'lawrence', 'pot', 'metal', 'glass', 'paint']"
"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",José Guadalupe Posada,ca. 1890–96,Type-metal engraving and letterpress,Prints,Drawings and Prints,,,,,Print,729644,True,1946.0,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla) Type-metal engraving and letterpress",161,love,5.756666666666668,18,25,0.72,"['in', 'proof', 'of', 'true', 'love', 'a', 'arguing', 'with', 'a', 'woman', 'two', 'angels', 'in', 'upper', 'corners', 'type', 'metal', 'and']"
"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",,ca. 332–200 B.C.,"Papyrus, ink",,Egyptian Art,,Early Ptolemaic Period,,,"Papyrus, funerary, Book of the Dead, Imouthes, Imhotep, Imuthes",551786,True,1935.0,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes) Papyrus, ink",71,other,5.02,9,13,0.6923076923076923,"['book', 'of', 'the', 'dead', 'of', 'the', 'priest', 'of', 'ink']"
Sabine Houdon (1787–1836),Jean Antoine Houdon,1788,White marble on gray marble socle,Sculpture,European Sculpture and Decorative Arts,,,,,Bust,200668,True,1950.0,Sabine Houdon (1787–1836) White marble on gray marble socle,59,other,5.486666666666667,3,10,0.3,"['white', 'on', 'gray']"
Yuny and His Wife Renenutet,,ca. 1294–1279 B.C.,"Limestone, paint",,Egyptian Art,,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,"Statue, Yuny, Renenutet, pair, menat, music",544740,True,1915.0,"Yuny and His Wife Renenutet Limestone, paint",44,other,5.925,4,7,0.5714285714285714,"['and', 'his', 'wife', 'paint']"
Stela of the Overseer of the Fortress Intef,,ca. 2000–1988 B.C.,Limestone,,Egyptian Art,,Middle Kingdom,Dynasty 11,Seankhkare Mentuhotep III,"Stela, Intef, Iti",545393,True,1957.0,Stela of the Overseer of the Fortress Intef Limestone,53,other,4.960000000000001,4,9,0.4444444444444444,"['of', 'the', 'of', 'the']"
The Fieschi Morgan Staurotheke,,early 9th century,"Gilded silver, gold, enamel worked in cloisonné, and niello",Enamels-Cloisonné,Medieval Art,Byzantine,,,,Reliquary,472562,True,1917.0,"The Fieschi Morgan Staurotheke Gilded silver, gold, enamel worked in cloisonné, and niello",90,other,5.76,7,13,0.5384615384615384,"['the', 'morgan', 'silver', 'gold', 'worked', 'in', 'and']"
Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Jacometto (Jacometto Veneziano),ca. 1485–95,Oil on wood; verso: oil and gold on wood,Paintings,Robert Lehman Collection,,,,,Painting,459028,True,1975.0,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck Oil on wood; verso: oil and gold on wood,100,portrait,5.670909090909092,11,17,0.6470588235294118,"['portrait', 'of', 'a', 'oil', 'on', 'wood', 'oil', 'and', 'gold', 'on', 'wood']"
"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Jacometto (Jacometto Veneziano),ca. 1485–95,Oil on wood; (verso: oil and gold on wood),Paintings,Robert Lehman Collection,,,,,Painting,459027,True,1975.0,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille Oil on wood; (verso: oil and gold on wood)",121,portrait,5.614736842105263,19,23,0.8260869565217391,"['portrait', 'of', 'a', 'woman', 'possibly', 'a', 'nun', 'of', 'san', 'scene', 'in', 'oil', 'on', 'wood', 'oil', 'and', 'gold', 'on', 'wood']"
Stela of the Steward Mentuwoser,,ca. 1944 B.C.,"Limestone, paint",,Egyptian Art,,Middle Kingdom,Dynasty 12,"reign of Senwosret I, year 17","Stela, Mentuwoser",544320,True,1912.0,"Stela of the Steward Mentuwoser Limestone, paint",48,war,5.406666666666667,3,7,0.42857142857142855,"['of', 'the', 'paint']"
