title,category,object_begin,score,matched,total,coverage
The Adoration of the Shepherds,western,1605,4.97,3,5,0.6
The Bodhisattva Jizō,eastern,1291,4.98,1,3,0.33
Guaíza,eastern,1200,,0,1,0.0
Jaharis Byzantine Lectionary,eastern,1100,,0,3,0.0
Madonna and Child,eastern,1475,6.23,2,3,0.67
Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,1480,5.53,3,8,0.38
Longcase astronomical regulator,western,1763,,0,3,0.0
The Fieschi Morgan Staurotheke,eastern,800,5.11,2,4,0.5
"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",western,-332,4.95,8,11,0.73
Yuny and His Wife Renenutet,eastern,-1294,5.8,3,5,0.6
Processional Cross,western,1300,4.68,1,2,0.5
Sabine Houdon (1787–1836),eastern,1788,,0,4,0.0
Manuel Osorio Manrique de Zuñiga (1784–1792),eastern,1787,4.82,1,7,0.14
War club,western,1795,3.83,2,2,1.0
"Ignacio Garcini y Queralt (1752–1825), Brigadier of Engineers",western,1804,5.15,3,9,0.33
Marble head of a Ptolemaic queen,western,-275,5.6,4,6,0.67
A Hypocrite and a Slanderer,eastern,1765,5.23,3,5,0.6
Senwosret III as a Sphinx,western,-1878,5.14,3,5,0.6
Mother and her Children in Front of a Freestanding Screen of a Chinese Lion,eastern,1786,5.76,13,14,0.93
"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,1885,5.83,15,20,0.75
Peacocks and Cherry Blossoms,eastern,1915,6.13,2,4,0.5
The Holy Family with the Young Saint John the Baptist,western,1523,5.92,9,10,0.9
Nkishi (community power figure),western,1800,6.15,3,4,0.75
Cat with image of Bastet on breast,eastern,-664,5.84,6,7,0.86
Head of a ruler,western,-2300,5.38,3,4,0.75
Mestanskeho Pivovaru,eastern,1994,,0,2,0.0
Daoist Master Fei Zhangfang,eastern,1555,5.7,1,4,0.25
Platter (Ōzara) with Pine Tree,eastern,1600,6.42,2,5,0.4
Charity,western,1625,6.4,1,1,1.0
"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,1480,5.54,11,14,0.79
Portrait of a Woman with a Man at a Casement,eastern,1435,5.6,9,10,0.9
Dish with flowers and birds,eastern,1700,6.32,5,5,1.0
Josefa de Castilla Portugal y van Asbrock de Garcini (1775–about 1850),western,1804,4.9,5,12,0.42
The Immaculate Conception,western,1627,5.44,2,3,0.67
The Actor Segawa Kikunojō III as Wappa no Kikuō in a Woman’s “Asahina Armor Pulling” (Asahina no kusazuri-biki) Scene,eastern,1780,5.1,12,21,0.57
Vessel with mythological scene,western,600,5.81,3,4,0.75
"""Shah Jahan on a Terrace, Holding a Pendant Set With His Portrait"", Folio from the Shah Jahan Album",western,1515,5.61,11,18,0.61
Paris,western,1513,6.86,1,1,1.0
Saint Ignatius Loyola with an angel holding a book,western,1717,6.1,7,9,0.78
Nan va Halva (Breads and Sweets),eastern,1665,5.15,2,6,0.33
Virgin and Child with Saint Anne,eastern,1519,5.99,6,6,1.0
Stela of the Steward Mentuwoser,eastern,-1944,4.96,2,5,0.4
The Storm,western,1880,4.62,2,2,1.0
The Penitence of Saint Jerome,western,1510,5.32,4,5,0.8
Head from a Statue of King Amenhotep I,western,-1525,5.57,6,8,0.75
<em>Sib</em> sphinx for a barque,western,-664,5.0,4,7,0.57
The Louis XV Room,western,1715,5.21,3,4,0.75
"Capital with Angels Holding the Veil of Saint Veronica, with a Column",eastern,1325,5.7,11,12,0.92
