object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags
237739,Saint Ignatius Loyola with an angel holding a book,western,European Sculpture and Decorative Arts,Sculpture-Bronze,,,ca. 1722,1717,1727,Bronze,Francesco Bertos,Italian,1678,1741,2010,"[""Books"", ""Angels"", ""Saints""]"
639782,War club,western,The American Wing,,"Pawnee, Native American",,ca. 1800,1795,1805,Wood and pigment,,,,,2019,
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575,1642,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575,1642,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",eastern,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]"
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
206965,Longcase astronomical regulator,eastern,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727,1807,1982,
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852,1913,1946,"[""Skeletons"", ""Women""]"
310453,Nkishi (community power figure),eastern,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]"
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
201862,Paris,western,European Sculpture and Decorative Arts,Sculpture-Bronze,,,ca. 1518–1524,1513,1529,"Bronze, partially fire-gilt, silver inlay",Antico (Pier Jacopo Alari Bonacolsi),Italian,1460,1528,1955,"[""Apples"", ""Male Nudes""]"
853194,Daoist Master Fei Zhangfang,eastern,Asian Art,Paintings,Japan,Muromachi period (1392–1573),ca. 1555–61,1555,1561,Hanging scroll; ink on paper,Sesson Shūkei,Japanese,1504,1589,2022,
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575,1642,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]"
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575,1642,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]"
237739,Saint Ignatius Loyola with an angel holding a book,western,European Sculpture and Decorative Arts,Sculpture-Bronze,,,ca. 1722,1717,1727,Bronze,Francesco Bertos,Italian,1678,1741,2010,"[""Books"", ""Angels"", ""Saints""]"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852,1913,1946,"[""Skeletons"", ""Women""]"
53172,"Three Poems from the Collection of Poems Ancient and Modern (Kokin wakashū), one of the Araki Fragments (Araki-gire)",eastern,Asian Art,Calligraphy,Japan,Heian period (ca. 900–1185),11th century,1000,1099,Page from a booklet mounted as a hanging scroll; ink on paper,Fujiwara no Yukinari (Kōzei),Japanese,0972,1027,2015,"[""Poetry""]"
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,
53241,Willows and Bridge,eastern,Asian Art,Paintings,Japan,Momoyama period (1573–1615),early 17th century,1600,1615,"Pair of six-panel folding screens; ink, color, copper, gold, and gold leaf on paper",,,,,2015,"[""Bridges"", ""Plants""]"
590745,<em>Sib</em> sphinx for a barque,western,Egyptian Art,,,Late Period (Saite),ca. 664–525 BCE,-664,-525,Leaded bronze,,,,,2011,"[""Sphinx""]"
