object_id,category,term
237739,western,glory
639782,western,grace
437422,western,pastoral
472562,eastern,impermanence
437422,western,romantic
551786,western,divine
329077,eastern,meditation
206965,eastern,zen
729644,eastern,simplicity
310453,western,grace
329077,western,sublime
329077,western,glory
201862,western,splendor
853194,eastern,zen
437422,eastern,simplicity
437422,eastern,mono no aware
237739,western,splendor
729644,western,beauty
53172,eastern,mono no aware
317877,eastern,impermanence
53241,eastern,cherry blossom
590745,western,beauty
437422,western,beauty
329077,western,splendor
317877,eastern,lotus
281977,eastern,emptiness
435621,eastern,cherry blossom
548344,western,divine
459028,eastern,nirvana
854970,eastern,impermanence
452102,western,sublime
76084,eastern,enlightenment
53002,eastern,simplicity
472562,eastern,emptiness
544173,western,ideal
551786,western,ideal
551786,eastern,impermanence
477499,eastern,enlightenment
772738,eastern,bamboo
437175,eastern,simplicity
206965,eastern,nirvana
200668,eastern,impermanence
437609,western,beauty
844492,western,sublime
551786,western,harmony
365313,western,harmony
310453,eastern,lotus
472562,eastern,zen
900001,eastern,meditation
436545,eastern,enlightenment
437868,eastern,cherry blossom
729644,western,sublime
206965,eastern,bamboo
317877,eastern,emptiness
329077,eastern,ukiyo
437422,eastern,impermanence
24786,eastern,mono no aware
329077,western,pastoral
459028,eastern,lotus
317877,eastern,zen
329077,western,romantic
472562,eastern,enlightenment
471853,western,divine
438688,eastern,meditation
435848,eastern,impermanence
53633,eastern,cherry blossom
459028,western,splendor
73651,eastern,feng shui
310453,western,harmony
551786,eastern,emptiness
459027,eastern,impermanence
437261,western,ideal
10810,western,ideal
472562,western,grace
329077,eastern,simplicity
437340,eastern,lotus
324138,western,pastoral
551786,eastern,zen
472562,eastern,nirvana
435580,eastern,meditation
437422,eastern,emptiness
551786,western,grace
55359,eastern,mono no aware
544740,western,grace
551786,eastern,enlightenment
436311,eastern,mono no aware
437422,eastern,zen
310453,eastern,ukiyo
39742,eastern,nirvana
472562,western,divine
317877,eastern,nirvana
208302,eastern,bamboo
49068,eastern,zen
729644,western,pastoral
200668,eastern,enlightenment
459028,western,romantic
442488,eastern,mono no aware
459027,eastern,emptiness
206965,western,sublime
317877,eastern,bamboo
206965,western,glory
38452,eastern,nirvana
544740,eastern,impermanence
281977,eastern,meditation
459028,eastern,ukiyo
436570,western,glory
436440,western,ideal
472562,eastern,lotus
459027,eastern,zen
544740,eastern,lotus
546127,western,divine
551786,eastern,nirvana
472562,eastern,meditation
195332,western,harmony
310453,eastern,nirvana
317877,western,sublime
206965,western,splendor
206989,eastern,emptiness
435744,western,pastoral
317877,western,glory
544186,western,divine
459028,western,beauty
590745,western,grace
200668,eastern,nirvana
53449,eastern,ukiyo
206965,eastern,ukiyo
544320,western,pastoral
310453,eastern,bamboo
437422,western,grace
53007,eastern,mono no aware
436105,eastern,enlightenment
437127,eastern,ukiyo
49068,western,grace
436896,eastern,mono no aware
472562,western,ideal
436542,western,romantic
437422,eastern,nirvana
317877,western,splendor
53655,eastern,cherry blossom
435848,western,grace
257603,western,ideal
472562,western,harmony
459028,eastern,bamboo
56966,eastern,mono no aware
729644,western,divine
53660,eastern,emptiness
49068,eastern,bamboo
590745,western,divine
850414,eastern,zen
45258,eastern,bamboo
437422,western,divine
551786,eastern,lotus
206965,eastern,simplicity
206965,eastern,mono no aware
544740,western,ideal
435997,western,romantic
729644,eastern,impermanence
53660,eastern,zen
78191,eastern,enlightenment
551786,eastern,meditation
459027,eastern,nirvana
49049,eastern,cherry blossom
551786,western,splendor
459028,western,sublime
206965,western,pastoral
206965,western,romantic
729644,eastern,lotus
435853,western,glory
459027,eastern,bamboo
38006,eastern,enlightenment
552793,western,harmony
310453,western,sublime
437422,eastern,lotus
472562,eastern,ukiyo
310453,western,glory
42188,eastern,enlightenment
16717,western,beauty
53660,eastern,enlightenment
316145,eastern,bamboo
317877,western,pastoral
317877,western,romantic
459027,western,sublime
729644,western,ideal
544320,eastern,impermanence
463795,western,divine
437798,western,glory
310453,western,splendor
317877,eastern,ukiyo
248466,western,harmony
437422,western,ideal
729644,western,harmony
544320,eastern,lotus
329077,western,grace
729644,eastern,emptiness
44861,eastern,mono no aware
312807,eastern,emptiness
544453,western,ideal
436180,eastern,mono no aware
437261,eastern,meditation
437422,western,harmony
544740,eastern,nirvana
437175,eastern,lotus
435848,western,ideal
729644,eastern,zen
472562,eastern,bamboo
854017,eastern,meditation
435922,western,grace
551786,eastern,ukiyo
451270,western,splendor
192770,western,divine
453673,eastern,meditation
857956,eastern,cherry blossom
317877,eastern,simplicity
475488,western,grace
459028,western,pastoral
729644,eastern,enlightenment
78191,eastern,meditation
437609,western,harmony
53242,eastern,cherry blossom
688515,eastern,cherry blossom
310453,western,pastoral
437422,eastern,ukiyo
310453,western,romantic
438817,eastern,ukiyo
329077,eastern,impermanence
729644,western,grace
310453,eastern,simplicity
459027,western,romantic
53427,eastern,cherry blossom
329077,eastern,lotus
436543,western,romantic
437423,western,harmony
551786,eastern,bamboo
729644,eastern,nirvana
570719,eastern,emptiness
824771,western,pastoral
472562,western,sublime
53895,eastern,cherry blossom
472562,western,glory
437508,western,sublime
729644,eastern,bamboo
329077,western,ideal
459028,eastern,simplicity
551786,western,sublime
551786,western,glory
437422,eastern,bamboo
459027,western,beauty
329077,western,harmony
436543,western,beauty
472562,western,splendor
329073,western,divine
38634,eastern,meditation
435848,eastern,mono no aware
329077,eastern,emptiness
435997,western,pastoral
437153,western,sublime
671001,eastern,mono no aware
236688,eastern,simplicity
544320,eastern,nirvana
467641,western,grace
200668,western,beauty
459027,eastern,simplicity
452102,western,glory
329077,eastern,zen
310453,eastern,impermanence
729644,eastern,meditation
436440,western,romantic
53427,eastern,ukiyo
53429,eastern,cherry blossom
189425,western,beauty
310364,western,glory
452102,western,splendor
53454,eastern,cherry blossom
729644,western,glory
329077,eastern,enlightenment
206965,western,grace
459028,eastern,impermanence
451725,western,harmony
437422,western,sublime
436836,western,harmony
472562,western,pastoral
438821,western,ideal
437422,western,glory
472562,western,romantic
281977,eastern,simplicity
816189,eastern,zen
729644,western,splendor
438821,western,harmony
451270,western,glory
437873,eastern,cherry blossom
436244,eastern,simplicity
206965,eastern,impermanence
551786,western,pastoral
472562,eastern,simplicity
551786,western,romantic
310453,eastern,emptiness
437422,western,splendor
78191,western,sublime
206965,eastern,lotus
329077,eastern,nirvana
816189,eastern,enlightenment
472562,western,beauty
466085,eastern,meditation
471730,western,splendor
310453,eastern,zen
329077,eastern,bamboo
729644,eastern,ukiyo
459028,eastern,emptiness
560727,eastern,lotus
551786,western,beauty
435817,western,splendor
365313,western,beauty
577369,eastern,lotus
317877,western,divine
313658,western,divine
435851,eastern,meditation
439844,western,romantic
459028,eastern,zen
544740,western,beauty
310453,eastern,enlightenment
312336,western,ideal
206965,eastern,emptiness
39482,eastern,cherry blossom
544186,western,beauty
285646,eastern,mono no aware
729644,western,romantic
551786,eastern,simplicity
437133,eastern,ukiyo
552850,western,divine
459027,western,pastoral
436947,eastern,ukiyo
