category,term,timestamp,total_found,selected
western,beauty,2026-03-14T18:00:15.189819,478,15
western,sublime,2026-03-14T18:00:15.757578,137,15
western,pastoral,2026-03-14T18:00:16.349221,162,15
western,romantic,2026-03-14T18:00:16.944484,186,15
western,ideal,2026-03-14T18:00:17.736071,295,15
western,grace,2026-03-14T18:00:18.315986,247,15
western,glory,2026-03-14T18:00:18.931891,190,15
western,divine,2026-03-14T18:00:19.559657,361,15
western,harmony,2026-03-14T18:00:20.137285,203,15
western,splendor,2026-03-14T18:00:20.707080,158,15
eastern,zen,2026-03-14T18:00:21.281790,156,15
eastern,ukiyo,2026-03-14T18:00:21.854587,142,15
eastern,wabi sabi,2026-03-14T18:00:22.419153,0,0
eastern,mono no aware,2026-03-14T18:00:22.985079,205,15
eastern,feng shui,2026-03-14T18:00:23.561377,1,1
eastern,simplicity,2026-03-14T18:00:24.099692,169,15
eastern,impermanence,2026-03-14T18:00:24.699179,128,15
eastern,emptiness,2026-03-14T18:00:25.518431,277,15
eastern,enlightenment,2026-03-14T18:00:26.124493,171,15
eastern,meditation,2026-03-14T18:00:26.701795,210,15
eastern,bamboo,2026-03-14T18:00:27.282516,165,15
eastern,cherry blossom,2026-03-14T18:00:27.854499,19,15
eastern,lotus,2026-03-14T18:00:28.439992,180,15
eastern,nirvana,2026-03-14T18:00:29.015063,129,15
