object_id,title,category,term_used,department,culture,period,artist,date,object_begin
437422,Charity,western,beauty,European Paintings,,,Guido Reni,ca. 1630,1625
590745,<em>Sib</em> sphinx for a barque,western,beauty,Egyptian Art,,Late Period (Saite),,ca. 664–525 BCE,-664
436543,Josefa de Castilla Portugal y van Asbrock de Garcini (1775–about 1850),western,beauty,European Paintings,,,Goya (Francisco de Goya y Lucientes),1804,1804
200668,Sabine Houdon (1787–1836),western,beauty,European Sculpture and Decorative Arts,,,Jean Antoine Houdon,1788,1788
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,western,beauty,Robert Lehman Collection,,,Jacometto (Jacometto Veneziano),ca. 1485–95,1480
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",western,beauty,Robert Lehman Collection,,,Jacometto (Jacometto Veneziano),ca. 1485–95,1480
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",western,beauty,Egyptian Art,,Early Ptolemaic Period,,ca. 332–200 B.C.,-332
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,beauty,Drawings and Prints,,,José Guadalupe Posada,ca. 1890–96,1885
472562,The Fieschi Morgan Staurotheke,western,beauty,Medieval Art,Byzantine,,,early 9th century,800
544740,Yuny and His Wife Renenutet,western,beauty,Egyptian Art,,"New Kingdom, Ramesside",,ca. 1294–1279 B.C.,-1294
16717,Fair Critics,western,beauty,The American Wing,American,,Charles Courtney Curran,1887,1887
365313,Hypnerotomachia Poliphili,western,beauty,Drawings and Prints,,,Francesco Colonna,December 1499,1499
544186,Senwosret III as a Sphinx,western,beauty,Egyptian Art,,Middle Kingdom,,ca. 1878–1840 B.C.,-1878
437609,The Holy Family with the Young Saint John the Baptist,western,beauty,European Paintings,,,Andrea del Sarto (Andrea d'Agnolo),ca. 1528,1523
189425,The Louis XV Room,western,beauty,European Sculpture and Decorative Arts,,,Jean-François Roumier,"ca. 1720–25, with later additions",1715
78191,Buddha Shakyamuni,western,sublime,Asian Art,Central Tibet,,,12th century,1100
329077,Head of a ruler,western,sublime,Ancient West Asian Art,,Early Bronze Age,,ca. 2300–2000 BCE,-2300
452102,Damascus Room,western,sublime,Islamic Art,,,,dated 1119 AH/1707 CE,1706
310453,Nkishi (community power figure),western,sublime,The Michael C. Rockefeller Wing,Songye peoples,,Songye artist and nganga (ritual specialist),19th–first half of 20th century,1800
437153,Oedipus and the Sphinx,western,sublime,European Paintings,,,Gustave Moreau,1864,1864
437508,Self-Portrait,western,sublime,European Paintings,,,Salvator Rosa,ca. 1647,1642
206965,Longcase astronomical regulator,western,sublime,European Sculpture and Decorative Arts,,,Ferdinand Berthoud,ca. 1768–70,1763
317877,Processional Cross,western,sublime,The Michael C. Rockefeller Wing,Northern Highlands region,,Northern Highlands artist,14th–15th century,1300
435744,Virgin and Child with the Young Saint John the Baptist and Angels,western,pastoral,European Paintings,,,François Boucher,1765,1765
824771,Marie Antoinette in a Park,western,pastoral,Drawings and Prints,,,Elisabeth Louise Vigée Le Brun,ca. 1780–81,1775
435997,The Storm,western,pastoral,European Paintings,,,Pierre-Auguste Cot,1880,1880
